Order ID,Order Date,Ship Mode,Customer Name,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Year,Month
ORD-00001,2021-01-01 00:00:00.000000,First Class,Customer_0201,Home Office,East,Furniture,Tables,698.16,1,0.4,-40.88,2021,2021-01
ORD-00002,2021-01-01 17:31:43.551775,Second Class,Customer_0013,Corporate,East,Technology,Phones,1443.53,2,0.2,156.51,2021,2021-01
ORD-00003,2021-01-02 11:03:27.103551,Standard Class,Customer_0214,Consumer,Central,Office Supplies,Labels,210.32,2,0.0,42.24,2021,2021-01
ORD-00004,2021-01-03 04:35:10.655327,Standard Class,Customer_0220,Consumer,Central,Technology,Copiers,1950.96,2,0.5,-362.82,2021,2021-01
ORD-00005,2021-01-03 22:06:54.207103,Standard Class,Customer_0286,Consumer,West,Office Supplies,Storage,224.66,1,0.1,44.57,2021,2021-01
ORD-00006,2021-01-04 15:38:37.758879,Standard Class,Customer_0244,Home Office,East,Furniture,Bookcases,2667.78,5,0.0,697.08,2021,2021-01
ORD-00007,2021-01-05 09:10:21.310655,Second Class,Customer_0258,Corporate,West,Technology,Phones,4826.26,5,0.5,-799.9,2021,2021-01
ORD-00008,2021-01-06 02:42:04.862431,Standard Class,Customer_0058,Corporate,West,Technology,Copiers,1200.79,1,0.0,335.41,2021,2021-01
ORD-00009,2021-01-06 20:13:48.414207,Second Class,Customer_0036,Corporate,Central,Technology,Copiers,2753.17,3,0.0,644.57,2021,2021-01
ORD-00010,2021-01-07 13:45:31.965982,First Class,Customer_0193,Consumer,South,Furniture,Tables,2039.1,2,0.2,113.36,2021,2021-01
ORD-00011,2021-01-08 07:17:15.517758,Standard Class,Customer_0050,Corporate,East,Technology,Laptops,568.39,1,0.2,60.03,2021,2021-01
ORD-00012,2021-01-09 00:48:59.069534,Standard Class,Customer_0032,Corporate,Central,Office Supplies,Paper,96.97,1,0.3,1.33,2021,2021-01
ORD-00013,2021-01-09 18:20:42.621310,Standard Class,Customer_0098,Consumer,South,Furniture,Furnishings,4913.46,4,0.0,1054.08,2021,2021-01
ORD-00014,2021-01-10 11:52:26.173086,Second Class,Customer_0043,Consumer,South,Technology,Laptops,3383.02,4,0.1,620.14,2021,2021-01
ORD-00015,2021-01-11 05:24:09.724862,Standard Class,Customer_0047,Corporate,West,Furniture,Bookcases,1449.55,3,0.0,410.31,2021,2021-01
ORD-00016,2021-01-11 22:55:53.276638,Second Class,Customer_0270,Home Office,South,Office Supplies,Labels,261.81,1,0.0,53.67,2021,2021-01
ORD-00017,2021-01-12 16:27:36.828414,First Class,Customer_0063,Consumer,East,Technology,Accessories,1711.36,2,0.0,498.31,2021,2021-01
ORD-00018,2021-01-13 09:59:20.380190,Standard Class,Customer_0019,Home Office,East,Technology,Copiers,1234.8,1,0.2,114.5,2021,2021-01
ORD-00019,2021-01-14 03:31:03.931965,First Class,Customer_0101,Corporate,West,Technology,Phones,1582.39,2,0.4,-110.65,2021,2021-01
ORD-00020,2021-01-14 21:02:47.483741,Same Day,Customer_0037,Consumer,East,Office Supplies,Binders,196.83,2,0.1,38.49,2021,2021-01
ORD-00021,2021-01-15 14:34:31.035517,Standard Class,Customer_0107,Consumer,West,Furniture,Tables,3310.04,6,0.1,623.2,2021,2021-01
ORD-00022,2021-01-16 08:06:14.587293,Standard Class,Customer_0092,Consumer,West,Furniture,Furnishings,2421.95,3,0.4,-90.22,2021,2021-01
ORD-00023,2021-01-17 01:37:58.139069,Same Day,Customer_0185,Corporate,East,Office Supplies,Storage,292.51,3,0.0,74.17,2021,2021-01
ORD-00024,2021-01-17 19:09:41.690845,Same Day,Customer_0216,Consumer,South,Office Supplies,Paper,560.2,3,0.0,135.08,2021,2021-01
ORD-00025,2021-01-18 12:41:25.242621,Standard Class,Customer_0028,Consumer,South,Furniture,Tables,2702.37,7,0.0,552.25,2021,2021-01
ORD-00026,2021-01-19 06:13:08.794397,Standard Class,Customer_0036,Consumer,East,Office Supplies,Labels,2065.12,7,0.0,548.27,2021,2021-01
ORD-00027,2021-01-19 23:44:52.346173,Standard Class,Customer_0018,Corporate,South,Technology,Copiers,1368.69,1,0.3,-35.2,2021,2021-01
ORD-00028,2021-01-20 17:16:35.897948,Same Day,Customer_0196,Consumer,South,Technology,Laptops,1317.0,1,0.0,366.25,2021,2021-01
ORD-00029,2021-01-21 10:48:19.449724,Standard Class,Customer_0078,Consumer,Central,Technology,Copiers,7665.51,7,0.0,1648.43,2021,2021-01
ORD-00030,2021-01-22 04:20:03.001500,Standard Class,Customer_0167,Consumer,West,Technology,Accessories,4675.22,3,0.1,775.51,2021,2021-01
ORD-00031,2021-01-22 21:51:46.553276,First Class,Customer_0090,Corporate,Central,Furniture,Furnishings,967.59,1,0.1,211.51,2021,2021-01
ORD-00032,2021-01-23 15:23:30.105052,Standard Class,Customer_0264,Corporate,South,Office Supplies,Art,974.74,5,0.0,219.52,2021,2021-01
ORD-00033,2021-01-24 08:55:13.656828,Second Class,Customer_0208,Consumer,Central,Technology,Accessories,1116.85,2,0.4,-113.75,2021,2021-01
ORD-00034,2021-01-25 02:26:57.208604,Standard Class,Customer_0212,Corporate,East,Technology,Phones,5532.22,4,0.0,1611.67,2021,2021-01
ORD-00035,2021-01-25 19:58:40.760380,First Class,Customer_0271,Corporate,East,Furniture,Bookcases,307.31,1,0.0,77.07,2021,2021-01
ORD-00036,2021-01-26 13:30:24.312156,Standard Class,Customer_0263,Corporate,Central,Office Supplies,Storage,201.02,3,0.5,-22.58,2021,2021-01
ORD-00037,2021-01-27 07:02:07.863931,Second Class,Customer_0273,Corporate,East,Technology,Copiers,1365.58,1,0.2,95.66,2021,2021-01
ORD-00038,2021-01-28 00:33:51.415707,Second Class,Customer_0214,Consumer,West,Furniture,Chairs,862.3,1,0.0,209.1,2021,2021-01
ORD-00039,2021-01-28 18:05:34.967483,Standard Class,Customer_0064,Consumer,East,Technology,Laptops,1619.57,1,0.0,484.27,2021,2021-01
ORD-00040,2021-01-29 11:37:18.519259,Standard Class,Customer_0012,Corporate,South,Technology,Accessories,633.36,1,0.2,39.12,2021,2021-01
ORD-00041,2021-01-30 05:09:02.071035,Standard Class,Customer_0210,Corporate,South,Office Supplies,Labels,615.89,3,0.0,166.63,2021,2021-01
ORD-00042,2021-01-30 22:40:45.622811,Standard Class,Customer_0174,Corporate,West,Office Supplies,Storage,111.42,1,0.2,12.05,2021,2021-01
ORD-00043,2021-01-31 16:12:29.174587,First Class,Customer_0256,Consumer,South,Technology,Accessories,998.94,1,0.0,226.97,2021,2021-01
ORD-00044,2021-02-01 09:44:12.726363,First Class,Customer_0101,Home Office,East,Office Supplies,Labels,1058.99,4,0.0,235.07,2021,2021-02
ORD-00045,2021-02-02 03:15:56.278139,Standard Class,Customer_0016,Corporate,Central,Furniture,Chairs,1661.5,3,0.0,397.67,2021,2021-02
ORD-00046,2021-02-02 20:47:39.829914,Second Class,Customer_0197,Consumer,Central,Office Supplies,Paper,250.3,1,0.0,70.19,2021,2021-02
ORD-00047,2021-02-03 14:19:23.381690,Second Class,Customer_0258,Consumer,South,Furniture,Bookcases,922.17,2,0.0,191.27,2021,2021-02
ORD-00048,2021-02-04 07:51:06.933466,First Class,Customer_0244,Corporate,South,Furniture,Furnishings,1425.77,3,0.5,-176.01,2021,2021-02
ORD-00049,2021-02-05 01:22:50.485242,Standard Class,Customer_0249,Corporate,East,Furniture,Bookcases,895.57,4,0.3,-19.09,2021,2021-02
ORD-00050,2021-02-05 18:54:34.037018,Standard Class,Customer_0105,Consumer,South,Furniture,Bookcases,2366.37,2,0.2,252.11,2021,2021-02
ORD-00051,2021-02-06 12:26:17.588794,Standard Class,Customer_0182,Home Office,West,Technology,Phones,1069.4,1,0.4,-93.96,2021,2021-02
ORD-00052,2021-02-07 05:58:01.140570,Standard Class,Customer_0155,Consumer,Central,Technology,Accessories,613.07,1,0.5,-74.01,2021,2021-02
ORD-00053,2021-02-07 23:29:44.692346,Standard Class,Customer_0287,Consumer,Central,Technology,Laptops,3560.7,2,0.1,578.72,2021,2021-02
